"subject","mu.true","mu.false","sigma.true","sigma.false","tau.true","tau.false","muS","sigmaS","tauS","tf","gf","SSRT","go_match","go_mismatch","tf_prob","gf_prob"
"321281",0.352093723542024,0.878158311305588,0.0445865800475033,0.305926492435728,0.0748231038231598,0.685030658622558,0.199297682837116,0.0252249349040979,0.0219870644009827,-1.93535908480629,-3.07360969046734,0.222217844765372,0.427028361963391,1.62414889551753,0.0264731232562778,0.00105742962673504
"321431",0.41172440054408,1.09413751955743,0.04419395679356,0.372486774123569,0.143450525862957,0.473315289863245,0.190979008041042,0.0281800906946451,0.0216425554002448,-2.53072164781235,-1.4247977777897,0.21390098831848,0.555314784501057,1.6162157486121,0.00569140720190549,0.0771078324407242
"321557",0.36376897613974,0.665057292146765,0.0343795571109354,0.162738182459758,0.0522763451551871,0.450013229847196,0.107437113689295,0.0687093421289424,0.0299905617678608,-2.46488082779033,-3.04326390600112,0.139210808663886,0.41617434844603,1.14176821293973,0.00685294142052466,0.00117013498843649
"321595",0.521206420415314,2.24592328657692,0.111657856082378,0.672430413500309,0.142471093863562,0.849320293980812,0.0249408547283744,0.218574748918335,0.0228906169382381,-2.47859876372101,-2.48248971452929,0.0563146340276909,0.663944791369807,3.16049282490646,0.00659497944546619,0.00652339172438353
"321976",0.403818067186025,1.0962298919431,0.0490427744771889,0.362534448598111,0.141321715767489,0.648219956242674,0.127611240837713,0.034599636777645,0.0341413607559282,-2.51643978533975,-2.16503791081648,0.162873566885547,0.544961751141471,1.78591437955601,0.0059273577812677,0.0151923910704605
"410084",0.442427243181194,1.68002759046167,0.0710984407581521,0.523835885400493,0.116539650669325,0.735051909133769,0.06958726389868,0.133728907500138,0.0325594139515863,-2.50881128140828,-3.04057323880675,0.107901125024524,0.55911835250923,2.50817226931496,0.00605690919951434,0.00118064128039646
"410086",0.422110056337028,1.26315845185678,0.0415863094062262,0.328192638628401,0.142607000565715,0.527610901423584,0.148416774991423,0.0774511556484348,0.0783348165633459,-2.1448779586809,-1.77264120248034,0.226362731962282,0.564937264834276,1.86468056452275,0.0159813032856835,0.0381440898869766
"410179",0.588837702360774,2.14138423881474,0.0727712026517417,0.246082100933831,0.0987076061582939,0.700319998386851,0.150582849891471,0.0126448145721329,0.00977238710545934,-1.95401365894911,-3.04483255313452,0.161760179402282,0.687708876006323,2.90180200672713,0.025349801146294,0.00116404944238649
"410284",0.382493622992914,0.779925238916678,0.0349367264844124,0.0566769080966902,0.0377934127201495,0.242193628131968,0.164153711939867,0.0246935857142617,0.0517579683796494,-2.06443712692107,-3.05247883562332,0.21618094909984,0.420354653405643,1.02482670064088,0.0194881446885115,0.00113479867646458
"410390",0.494120490843965,1.82222389436888,0.0748716150593894,0.531215215984078,0.0686313892560932,0.748375008540058,0.160513580317769,0.0797930189123051,0.0543214180231731,-2.24941446566368,-3.03884787238868,0.21597375108614,0.562843024205892,2.65027206465353,0.0122430695579658,0.00118742371877455
